,title,address,price(w),unit_price,purpose,area(ping),room,age/floor,url
0,美國學校旁 ★ 機能美寓,士林區天母東路,1890,58.01萬/坪,公寓,32.58,3房2廳2衛,39.1年,https://www.rakuya.com.tw/sell_item/info?ehid=065eec13177240f&from=list_regular
1,七段社區管理美寓,士林區中山北路七段,1600,,公寓,31.8,3房3廳3衛,35.9年,https://www.rakuya.com.tw/sell_item/info?ehid=02a648130998136&from=list_regular
2,店長推薦圓山窗外,圓山窗外士林區基河路,1510,,電梯大廈,11.24,1廳,15.8年,https://www.rakuya.com.tw/sell_item/info?ehid=0bbdeb131452332&from=list_regular
3,【在天母渡假】天母酒店式公寓,富春居士林區中山北路七段,1988,67.03萬/坪,電梯大廈,29.66,1房2廳1.5衛,31.2年,https://www.rakuya.com.tw/sell_item/info?ehid=0c44e612288550c&from=list_regular
4,旺來#露易莎三樓,士林區文昌路,1798,,公寓,30.63,3房2廳2衛,51.4年,https://www.rakuya.com.tw/sell_item/info?ehid=0a679b133701705&from=list_regular
5,天母國小旁 ⭐  邊間美玉,士林區天母西路,1990,62.23萬/坪,公寓,31.98,3房2廳2衛,42年,https://www.rakuya.com.tw/sell_item/info?ehid=01efc9132703763&from=list_regular
6,華琪美廈,士林區天母東路,1880,77.43萬/坪,華廈,24.28,2房2廳1衛,44年,https://www.rakuya.com.tw/sell_item/info?ehid=0fc46497969744&from=list_regular
7,儷園邊間景觀美寓,羅馬儷園(63弄)士林區中山北路七段,1568,,公寓,31.9,3房2廳2衛,36年,https://www.rakuya.com.tw/sell_item/info?ehid=0a6a9011687779b&from=list_regular
8,幸福一町目帶車位,幸福一町目士林區社正路,1980,,電梯大廈,43.18,3房2廳1衛,4.8年,https://www.rakuya.com.tw/sell_item/info?ehid=0993d6107901711&from=list_regular
9,士林夜市小金店,士林區大東路,1980,127.97萬/坪,公寓,15.47,2廳1衛,51.6年,https://www.rakuya.com.tw/sell_item/info?ehid=044cfd10603660a&from=list_regular
10,運動公園大空間,士林區忠誠路二段,1880,,公寓,35.04,3房2廳2衛,42.8年,https://www.rakuya.com.tw/sell_item/info?ehid=0466b711948843f&from=list_regular
11,芝山捷運景觀華廈,士林區文林路,1980,51.19萬/坪,電梯大廈,38.68,3房2廳2衛,39.7年,https://www.rakuya.com.tw/sell_item/info?ehid=00cec813185930c&from=list_regular
12,方正三房綠景一樓,士林區中山北路七段,1888,,公寓,29.85,3房2廳1衛,48年,https://www.rakuya.com.tw/sell_item/info?ehid=01c2f5122519845&from=list_regular
13,美國學校芳鄰首選,士林區中山北路六段,1790,,公寓,28.9,2房2廳2衛,34.6年,https://www.rakuya.com.tw/sell_item/info?ehid=09587f10240813d&from=list_regular
14,士東靜巷3+1房,士林區士東路,1880,,公寓,35.06,3房2廳2衛,40.9年,https://www.rakuya.com.tw/sell_item/info?ehid=0a2350117974339&from=list_regular
15,士林捷運小金礦,士林區中正路,1580,,公寓,12.96,2房2衛,55.4年,https://www.rakuya.com.tw/sell_item/info?ehid=07734413471170b&from=list_regular
16,富邦樺園面公園,富邦華園士林區天母東路,1900,,公寓,29.83,3房2廳2衛,36.9年,https://www.rakuya.com.tw/sell_item/info?ehid=0b6a0713420125c&from=list_regular
17,士林捷運收租五房,士林區文林路,1680,52.52萬/坪,公寓,31.99,5房5衛,38.3年,https://www.rakuya.com.tw/sell_item/info?ehid=0dcd2612619099a&from=list_regular
18,天母好成家$,士林區天母東路,1800,43.4萬/坪,公寓,41.47,3房2廳2衛,41.9年,https://www.rakuya.com.tw/sell_item/info?ehid=02928e11982169b&from=list_regular
19,SOGO靜巷二樓,士林區中山北路六段,1930,49.59萬/坪,公寓,38.92,3房2廳2衛,35年,https://www.rakuya.com.tw/sell_item/info?ehid=00b0c7121796440&from=list_regular
20,劍潭三樓聚寶盆,士林區福港街,1880,,公寓,34.79,3房2廳2衛,41.1年,https://www.rakuya.com.tw/sell_item/info?ehid=0f875b113292201&from=list_regular
21,機能好方便公寓,士林區中山北路五段,1500,,公寓,24.35,3房2廳2衛,41.6年,https://www.rakuya.com.tw/sell_item/info?ehid=0ab2589337498f&from=list_regular
22,陽明山景觀美寓,士林區永公路,1600,32.15萬/坪,公寓,49.77,4房2廳2衛,50.7年,https://www.rakuya.com.tw/sell_item/info?ehid=09239e11953148a&from=list_regular
23,天母方正2房電梯,士林區天母東路,1580,,電梯大廈,28.41,2房2廳1衛,42.8年,https://www.rakuya.com.tw/sell_item/info?ehid=05972e13464657d&from=list_regular
24,天和公園管理美寓,羅馬儷園(63弄)士林區中山北路七段,1980,,公寓,44.55,3房2廳2衛,36年,https://www.rakuya.com.tw/sell_item/info?ehid=032414134494966&from=list_regular
25,劍潭8套房,士林區承德路四段,1880,,公寓,23.83,8房8衛,42.6年,https://www.rakuya.com.tw/sell_item/info?ehid=0cdbfc133843186&from=list_regular
26,華齡黃金公寓三樓,士林區華齡街,1750,,公寓,30.37,3房2廳1衛,40.6年,https://www.rakuya.com.tw/sell_item/info?ehid=01dcfa13261233f&from=list_regular
27,百齡．稀有２樓,士林區福港街,1728,,公寓,34.04,3房2廳2衛,45.1年,https://www.rakuya.com.tw/sell_item/info?ehid=0ad9538961242d&from=list_regular
28,店長推薦士林官隱,士林區福林路,1580,,電梯大廈,14.62,1房1廳1衛,5.4年,https://www.rakuya.com.tw/sell_item/info?ehid=0922c3100271197&from=list_regular
29,劍潭捷運創築美屋,士林區承德路四段,1688,,電梯大廈,28.91,10.8年,6樓~6樓/11樓,https://www.rakuya.com.tw/sell_item/info?ehid=025bfe13424085b&from=list_regular
30,士林收租小金庫,士林區承德路四段,1680,,透天厝,26.46,4房4衛,51年,https://www.rakuya.com.tw/sell_item/info?ehid=0f619894878373&from=list_regular
31,劍潭低總價一樓,士林區大南路,1680,,公寓,22.54,1廳1衛,43.5年,https://www.rakuya.com.tw/sell_item/info?ehid=06ac29102034832&from=list_regular
32,【天母國小旁】邊間三房好屋況美玉，好停車,士林區天母西路,1990,62.23萬/坪,公寓,31.98,3房2廳2衛,42.1年,https://www.rakuya.com.tw/sell_item/info?ehid=071e5511731000c&from=list_regular
33,在家渡假。富春居庭院戶,士林區中山北路七段,1980,,電梯大廈,28.33,1房2廳1.5衛,31.2年,https://www.rakuya.com.tw/sell_item/info?ehid=01144b132027719&from=list_regular
34,羅馬雙園的邂逅,羅馬儷園(59弄)士林區中山北路七段,1600,,公寓,31.81,2房2廳2衛,35.9年,https://www.rakuya.com.tw/sell_item/info?ehid=027af7120214805&from=list_regular
35,忠誠抽車位美寓,綠的世界士林區忠誠路二段,1980,,公寓,35.05,3房2廳2衛,39.6年,https://www.rakuya.com.tw/sell_item/info?ehid=0346a1130291199&from=list_regular
36,劍潭捷運站旁公寓2樓,士林區華齡街,1868,50.27萬/坪,公寓,37.16,3房2廳2衛,36.2年,https://www.rakuya.com.tw/sell_item/info?ehid=0b03c39496120b&from=list_regular
37,劍潭捷運創築美學,士林區承德路四段,1688,,電梯大廈,28.9,1廳1衛,10.8年,https://www.rakuya.com.tw/sell_item/info?ehid=0f3ed9129206977&from=list_regular
38,京璽景觀珠寶盒,士科京璽士林區重慶北路四段,1950,,電梯大廈,31.81,1房2廳1衛,3.5年,https://www.rakuya.com.tw/sell_item/info?ehid=08c2ea121724972&from=list_regular
39,天母運動公園美寓,士林區士東路,1988,58.58萬/坪,公寓,33.94,3房2廳2衛,38.7年,https://www.rakuya.com.tw/sell_item/info?ehid=09755812995216e&from=list_regular
40,時尚光點美屋,天母光點士林區士東路,1780,,電梯大廈,20.45,1房1廳1衛,12年,https://www.rakuya.com.tw/sell_item/info?ehid=02493a120835864&from=list_regular
41,捷運景觀好屋,士林區德行東路,1988,,公寓,41.95,3房2廳1衛,37.2年,https://www.rakuya.com.tw/sell_item/info?ehid=04ed82108450679&from=list_regular
42,天母景觀三房美寓,士林區天母東路,1650,,公寓,41.47,3房2廳2衛,41.9年,https://www.rakuya.com.tw/sell_item/info?ehid=05aaa911857724e&from=list_regular
43,【這間很讚】【在天母渡假】富春居。稀有庭院戶,富春居士林區中山北路七段,1980,,華廈,28.33,1房2廳1.5衛,31.2年,https://www.rakuya.com.tw/sell_item/info?ehid=0164f4134714904&from=list_regular
44,天母圓夢五房鼎家$,士林區中山北路七段,1680,,公寓,30.87,3房2廳2衛,41.2年,https://www.rakuya.com.tw/sell_item/info?ehid=0a3e00117813110&from=list_regular
